,FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader
2328,Pablo,Alvarez,Boston University,Psychology,Boston,MA,2.8,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2329,Kumiko,Aoki,Boston University,Communication,Boston,MA,1.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Peter,Doeringer,Boston University,Economics,Boston,MA,4.7,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Naomi,Moran,Boston University,Health Science,Boston,MA,3.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,Vergara,Elsie,Boston University,Health Science,Boston,MA,4.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2333,Dave,Schaefer,Boston University,Communication,Boston,MA,3.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2334,Fredrick,Trilling,Boston University,Law,Boston,MA,5.0,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2335,Robert,Briscoe,Boston University,Philosophy,Boston,MA,3.5,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2336,Merrill,Ebner,Boston University,Engineering,Boston,MA,4.5,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2337,Joel,Weinstein,Boston University,Physics,Boston,MA,3.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2338,Deborah,Youngman,Boston University,Education,Boston,MA,2.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2339,Kristin,Johnson,Boston University,Writing,Boston,MA,2.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2340,Joseph,Estano,Boston University,Engineering,Boston,MA,4.7,N/,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2341,Ramon,Valenzuela,Boston University,English,Boston,MA,2.7,N/,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2342,John,Silber,Boston University,Philosophy,Boston,MA,3.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2343,Tom,Kush,Boston University,Business,Boston,MA,4.5,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2344,Pamela,Berry,Boston University,Journalism,Boston,MA,4.2,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,Anil,Rao,Boston University,Engineering,Boston,MA,4.5,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2346,Tatiana,Spinary,Boston University,Art History,Boston,MA,2.8,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2347,Sonya,White,Boston University,Music,Boston,MA,1.0,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,Arvind,Kukreja,Boston University,Computer Science,Boston,MA,3.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2349,Michael,Vitulli,Boston University,Finance,Boston,MA,5.0,N/,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,Jake,Strautmann,Boston University,English,Boston,MA,4.0,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2351,Amy,West,Boston University,Psychology,Boston,MA,3.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2352,Gil,Rosenthal,Boston University,Biology,Boston,MA,4.0,N/,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2353,Christine,Hamel,Boston University,Theater,Boston,MA,4.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354,Joanne,Ciccarello,Boston University,Journalism,Boston,MA,2.7,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,Pradipta,Seal,Boston University,Ma,Boston,MA,2.3,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2356,Macy,Raymond,Boston University,English,Boston,MA,5.0,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,John,MacNicol,Boston University,Sociology,Boston,MA,2.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,Micheal,McGuire,Boston University,History,Boston,MA,5.0,N/,2.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2359,Leonard,Zaichkowsky,Boston University,Education,Boston,MA,4.7,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,April,Pinnick,Boston University,Science,Boston,MA,2.0,N/,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2361,Linda,Bandini,Boston University,Health Science,Boston,MA,2.8,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2362,Paula,Quatromoni,Boston University,Health Science,Boston,MA,5.0,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,Ariel,Ivanier,Boston University,Political Science,Boston,MA,4.5,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2364,John,Sullivan,Boston University,Business,Boston,MA,5.0,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2365,Angie,Lin,Boston University,Physical Ed,Boston,MA,4.2,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2366,David,Shikiar,Boston University,Philosophy,Boston,MA,2.7,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2367,Lydia,Huerta,Boston University,Languages,Boston,MA,4.5,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2368,Alec,Cerchiari,Boston University,Engineering,Boston,MA,5.0,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2369,Deborah,Cornell,Boston University,Fine Arts,Boston,MA,4.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Mahalia,Gayle,Boston University,Languages,Boston,MA,4.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2371,Bill,Dedman,Boston University,Journalism,Boston,MA,2.8,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2372,Stephanie,Finks,Boston University,Communication,Boston,MA,3.5,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2373,Nathan,Schwadron,Boston University,Science,Boston,MA,4.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2374,Dan,Degooyer,Boston University,Communication,Boston,MA,3.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2375,Phillip,Anwer,Boston University,Chemistry,Boston,MA,5.0,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2376,Rebecca,Wangh,Boston University,Writing,Boston,MA,2.5,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2377,Kathryn,Schhu,Boston University,Geography,Boston,MA,4.3,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2378,Antien,Knaap,Boston University,Art History,Boston,MA,2.5,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2379,David,Meskill,Boston University,History,Boston,MA,4.3,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2380,Jeff,Osbourne,Boston University,Writing,Boston,MA,3.7,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2381,Jason,Rickles,Boston University,Education,Boston,MA,3.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2382,Michelle,Robinson,Boston University,Women's Studies,Boston,MA,3.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383,Claudia,Castaneda,Boston University,Women's Studies,Boston,MA,4.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2384,Sarah,Richards,Boston University,Anthropology,Boston,MA,4.3,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2385,Sara,Brown,Boston University,Health Science,Boston,MA,3.3,N/,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2386,Ann,Jablon,Boston University,Political Science,Boston,MA,3.2,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2387,YU,Wang,Boston University,Finance,Boston,MA,2.5,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2388,Janice,O-Leary,Boston University,Journalism,Boston,MA,4.7,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2389,Lisa,Stowe,Boston University,Economics,Boston,MA,4.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2390,Ana,Bazdresch,Boston University,Languages,Boston,MA,4.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2391,Jess,Calfee,Boston University,Economics,Boston,MA,4.3,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2392,Karen,Ryabchenko,Boston University,Psychology,Boston,MA,3.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2393,Sharam,Shabdash,Boston University,History,Boston,MA,2.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2394,Tong-Il,Han,Boston University,Music,Boston,MA,2.3,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,Helen,White,Boston University,Science,Boston,MA,4.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2396,Maya,Sloan,Boston University,English,Boston,MA,4.7,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2397,David,Evett,Boston University,English,Boston,MA,1.7,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2398,Jason,McCullough,Boston University,Philosophy,Boston,MA,5.0,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,David,Troy,Boston University,Hospitality,Boston,MA,4.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,Zvi,Bodie,Boston University,Finance,Boston,MA,1.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401,Anna,Zielinska-Elliott,Boston University,Languages,Boston,MA,4.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,Ulrich,Faul,Boston University,Geology,Boston,MA,2.2,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Mark,Pickering,Boston University,Philosophy,Boston,MA,4.5,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2404,Paul,Norbury,Boston University,Ma,Boston,MA,1.0,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2405,Tara,Ward,Boston University,Art History,Boston,MA,4.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2406,John,Heaster,Boston University,Women's Studies,Boston,MA,2.3,N/,3.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2407,Dicky,Ng,Boston University,Education,Boston,MA,1.5,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,Leena,Rudanko,Boston University,Economics,Boston,MA,2.5,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,Isabel,Castro,Boston University,Languages,Boston,MA,4.2,N/,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2410,Emily,Donaldson,Boston University,Writing,Boston,MA,3.8,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2411,Rishtee,Kumar,Boston University,Marketing,Boston,MA,4.7,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,Cara,Stillings,Boston University,Education,Boston,MA,3.8,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2413,Matthew,Vanwinkle,Boston University,English,Boston,MA,3.5,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2414,Zhongjun,QU,Boston University,Economics,Boston,MA,3.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2415,Sarah,Masden,Boston University,Writing,Boston,MA,2.3,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2416,Chris,Anderson,Boston University,Film,Boston,MA,3.7,N/,1.7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2417,Richard,Ravin,Boston University,Communication,Boston,MA,3.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,Catalina,Donoso,Boston University,Languages,Boston,MA,4.8,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,Morton,Hoffman,Boston University,Chemistry,Boston,MA,3.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2420,Kerri,French,Boston University,Writing,Boston,MA,4.2,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2421,Christopher,Annear,Boston University,Anthropology,Boston,MA,4.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2422,J,Julian,Boston University,Languages,Boston,MA,4.0,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2423,John,Neale,Boston University,Business,Boston,MA,5.0,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,Rommy,Balabarca-Fataccioli,Boston University,Languages,Boston,MA,3.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,Julie,Rowe,Boston University,Languages,Boston,MA,4.3,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2426,Paul,Leavis,Boston University,Health Science,Boston,MA,4.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2427,Shannon,Gavin,Boston University,Languages,Boston,MA,2.8,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,Margaret,Souders,Boston University,Writing,Boston,MA,5.0,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2429,Tetyana,Pastushak,Boston University,Languages,Boston,MA,3.5,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2430,Charlotte,Odermatt,Boston University,Languages,Boston,MA,3.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2431,Michael,Balint,Boston University,Education,Boston,MA,4.7,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432,Melissa,St.,Boston University,Languages,Boston,MA,4.5,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2433,Patrick,Ehrlicher,Boston University,Engineering,Boston,MA,5.0,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2434,James,Burrell,Boston University,Computer Science,Boston,MA,3.3,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2435,Ikemefuna,Agbanusi,Boston University,Ma,Boston,MA,2.2,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2436,Daniele,Paserman,Boston University,Economics,Boston,MA,4.2,N/,1.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2437,Lorena,Barba,Boston University,Engineering,Boston,MA,1.3,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,Andre,Sharon,Boston University,Engineering,Boston,MA,3.3,N/,3.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2439,Elisabeta,Sarca,Boston University,Writing,Boston,MA,2.5,N/,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2440,John,Teopaco,Boston University,Marketing,Boston,MA,4.2,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2441,Kelly,Kim,Boston University,Languages,Boston,MA,4.8,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2442,Freddy,Robles,Boston University,Physical Education,Boston,MA,3.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2443,Emily,Gruber,Boston University,Writing,Boston,MA,2.8,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,William,Palm,Boston University,Engineering,Boston,MA,4.8,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,Laurent,Bouton,Boston University,Economics,Boston,MA,4.0,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,Jeff,Donn,Boston University,Journalism,Boston,MA,4.0,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2447,David,Jennings,Boston University,Philosophy,Boston,MA,4.3,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2448,Pooja,Gupta,Boston University,Economics,Boston,MA,3.0,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2449,Pooja,Gupta,Boston University,Economics,Boston,MA,1.2,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,Helen,Tager-Flusberg,Boston University,Psychology,Boston,MA,2.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,Vladimir,Brusic,Boston University,Computer Science,Boston,MA,2.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2452,Heather,Hardway,Boston University,Ma,Boston,MA,3.8,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2453,Christine,Hutchinson-Jones,Boston University,English,Boston,MA,1.3,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2454,Joseph,Robinson,Boston University,Writing,Boston,MA,4.5,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2455,Remus,Osan,Boston University,Ma,Boston,MA,4.7,N/,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456,Cathy,Perron,Boston University,Not Specified,Boston,MA,2.1,N/,3.3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2457,Matt,Jackson,Boston University,Earth Science,Boston,MA,3.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2458,Christiane,Sattler,Boston University,Languages,Boston,MA,4.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2459,Nahshon,Perez,Boston University,History,Boston,MA,4.3,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2460,Camilo,Calderon,Boston University,Chemistry,Boston,MA,4.0,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2461,Jason,Norman,Boston University,Education,Boston,MA,4.2,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,Yu,Jung,Boston University,Languages,Boston,MA,3.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2463,Amy,Slate,Boston University,Education,Boston,MA,5.0,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2464,Nima,Shokri,Boston University,Earth Science,Boston,MA,3.7,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2465,Seema,Pai,Boston University,Marketing,Boston,MA,4.5,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2466,Adam,Zawadowski,Boston University,Not Specified,Boston,MA,2.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2467,Lisa,Hiton,Boston University,Writing,Boston,MA,5.0,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2468,Melissa,Latham,Boston University,Education,Boston,MA,3.3,N/,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,Fred,Foulkes,Boston University,Business,Boston,MA,3.7,N/,1.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2470,Shelly,Rambo,Boston University,Religion,Boston,MA,3.5,N/,3.0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2471,Christy,Berkery,Boston University,Communication,Boston,MA,5.0,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,Wendy,Heiger-Bernays,Boston University,Health Science,Boston,MA,3.4,N/,3.3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2473,Edward,Damiano,Boston University,Engineering,Boston,MA,4.7,N/,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2474,Emily,Griffiths,Boston University,Writing,Boston,MA,4.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2475,Guillem,Riambau-Armet,Boston University,Economics,Boston,MA,4.2,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2476,Eunkyoung,Jeong,Boston University,Languages,Boston,MA,4.5,N/,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2477,Adel,Faitaninho,Boston University,Languages,Boston,MA,5.0,N/,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2478,Lorraine,Delhorne,Boston University,Health Science,Boston,MA,3.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2479,Julie,Zhu,Boston University,Accounting,Boston,MA,2.0,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2480,Mark,Friedl,Boston University,Geography,Boston,MA,3.9,N/,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2481,Mattias,Schneider,Boston University,Engineering,Boston,MA,4.2,N/,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2482,Wendy,Iskenderian-Epps,Boston University,Chemistry,Boston,MA,4.5,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2483,Xavier,Gensler,Boston University,Fine Arts,Boston,MA,3.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,Carl,Weitkamp,Boston University,English,Boston,MA,4.3,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485,Christine,Baron,Boston University,Education,Boston,MA,3.3,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,Ian,Davison,Boston University,Biology,Boston,MA,5.0,N/,3.7,0,0,0,0,0,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0
2487,Sophia,Mizouni,Boston University,Languages,Boston,MA,4.7,N/,2.3,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2488,Julie,Mallozzi,Boston University,Film,Boston,MA,5.0,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2489,Lenore,Myka,Boston University,Writing,Boston,MA,2.7,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2490,Roberto,Ugalde,Boston University,Languages,Boston,MA,2.0,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2491,Adrian,Van,Boston University,English,Boston,MA,5.0,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2492,Anna,Monahan,Boston University,Health Science,Boston,MA,5.0,N/,2.3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2493,Perlstein,Deborah,Boston University,Biology,Boston,MA,2.5,N/,4.3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2
2494,Nancy,Harayama,Boston University,Education,Boston,MA,3.5,N/,3.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2495,Karim,Naguib,Boston University,Economics,Boston,MA,2.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2496,Brian,Marrin,Boston University,Philosophy,Boston,MA,4.0,N/,3.3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2497,Francesco,Decarolis,Boston University,Economics,Boston,MA,2.3,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2498,Hunter,Glanz,Boston University,Ma,Boston,MA,3.7,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2499,Ryan,Grady,Boston University,Ma,Boston,MA,1.7,N/,3.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2500,Pankaj,Mehta,Boston University,Physics,Boston,MA,4.7,N/,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
