FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,number of comments,prof_id,num_female_words,num_male_words,percent_female,gender
David,Bronstein,Boston University,Philosophy,Boston,MA,3.8,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1494289,0,38,0,male
Diana,Arbaiza,Boston University,Languages,Boston,MA,5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1500510,67,0,1,female
Jason,Ritt,Boston University,Engineering,Boston,MA,3.5,N/,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1515961,0,16,0,male
Canaan,Boyer,Boston University,Languages,Boston,MA,4.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1516499,0,0,0.5,unknown
Brett,Rhyne,Boston University,Journalism,Boston,MA,1,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1541479,0,42,0,male
Charlie,Anderson,Boston University,Film,Boston,MA,4,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1544646,0,41,0,male
Sujith,Vijayan,Boston University,Ma,Boston,MA,3.3,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1554052,0,82,0,male
Nancy,Kopell,Boston University,Ma,Boston,MA,1.3,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1559959,64,0,1,female
Colleen,Dalton,Boston University,Earth Science,Boston,MA,4.3,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1567681,73,0,1,female
Eric,Bland,Boston University,Communication,Boston,MA,1.8,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1569696,0,52,0,male
Kalin,Kostadinov,Boston University,Ma,Boston,MA,1.8,N/,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1570704,0,15,0,male
Melanie,McNaughton,Boston University,Communication,Boston,MA,2,N/,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1574471,0,0,0.5,unknown
Morgan,McVicar,Boston University,Journalism,Boston,MA,3.5,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1577637,0,74,0,male
Dustin,Holloway,Boston University,Writing,Boston,MA,4.3,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1579035,0,44,0,male
Stacey,Doan,Boston University,Psychology,Boston,MA,4.8,N/,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1581059,56,0,1,female
Mariellen,Fidrych,Boston University,Criminal Justice,Boston,MA,5,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1590766,50,0,1,female
Joseph,Burgoyne,Boston University,Computer Science,Boston,MA,5,N/,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1612357,0,8,0,male
Carolyn,Edwards,Boston University,Hospitality,Boston,MA,1,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1627218,57,0,1,female
Davidson,Joanna,Boston University,Anthropology,Boston,MA,4.5,N/,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1641732,24,0,1,female
Monica,Link,Boston University,Philosophy,Boston,MA,3.3,N/,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1643302,81,0,1,female
Artie,(arthur),Boston University,Biology,Boston,MA,2.8,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1643376,0,36,0,male
Kaca,Bradonjic,Boston University,Writing,Boston,MA,2.3,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1643596,49,0,1,female
Melissa,Schoenberger,Boston University,Writing,Boston,MA,5,N/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1649560,59,0,1,female
William,Blocher,Boston University,Computer Science,Boston,MA,5,N/,3.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1652650,0,57,0,male
Siddharth,Ramachandran,Boston University,Engineering,Boston,MA,5,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1653303,0,0,0.5,unknown
Kristen,Pufahl,Boston University,Health Science,Boston,MA,4.8,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1655095,118,0,1,female
Zophia,Edwards,Boston University,Writing,Boston,MA,3,N/,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1657968,60,0,1,female
Erin,Roh,Boston University,Physical Education,Boston,MA,5,N/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1659794,13,0,1,female
Cara,Bowman,Boston University,Sociology,Boston,MA,2,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1667502,108,0,1,female
Rebekah,O'Donnell,Boston University,Chemistry,Boston,MA,1.8,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1669207,20,0,1,female
Cara,Stepp,Boston University,Health Science,Boston,MA,4.5,N/,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1670852,93,0,1,female
Ulrike,Praeger,Boston University,Writing,Boston,MA,3.3,N/,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1677454,5,0,1,female
Jared,Champion,Boston University,Writing,Boston,MA,4,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1682635,0,54,0,male
Ian,Mashiter,Boston University,Business,Boston,MA,5,N/,1.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1688927,0,13,0,male
William,Liberti,Boston University,Chemistry,Boston,MA,5,N/,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1689980,0,5,0,male
Michael,Caramanis,Boston University,Engineering,Boston,MA,3,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1693063,0,39,0,male
Talia,Croan,Boston University,English,Boston,MA,3.3,N/,3.5,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1694039,57,0,1,female
Perla,Masi,Boston University,Languages,Boston,MA,3,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1705607,39,0,1,female
Benjamin,Juarez,Boston University,Fine Arts,Boston,MA,3.8,N/,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1707847,0,19,0,male
Elizabeth,Hoover,Boston University,Speech Language & Hearing,Boston,MA,5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1717409,104,0,1,female
Indigo,Bethea,Boston University,Sociology,Boston,MA,1.5,N/,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1719672,21,0,1,female
Martina,Tanga,Boston University,Art History,Boston,MA,3,N/,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1720236,62,0,1,female
Ken,Holt,Boston University,Health Science,Boston,MA,4.8,N/,3.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1721910,0,44,0,male
Peter,Van,Boston University,Ma,Boston,MA,3.8,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1721965,0,24,0,male
Elizabeth,Perlman,Boston University,Economics,Boston,MA,1.3,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1722480,84,0,1,female
Jessica,Eichelburg,Boston University,Languages,Boston,MA,4.8,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1726281,86,0,1,female
Myongjin,Kim,Boston University,Economics,Boston,MA,4,N/,2.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1786315,0,0,0.5,unknown
Shelly,Henderson,Boston University,Business,Boston,MA,1.5,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1787535,31,0,1,female
Mario,Cabodi,Boston University,Biomedical,Boston,MA,4,N/,1.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1793093,0,0,0.5,unknown
Kip,Becker,Boston University,Not Specified,Boston,MA,3.8,N/,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1798973,0,35,0,male
Alexandra,Zouncourides-Lull,Boston University,Not Specified,Boston,MA,2.5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1799305,49,0,1,female
Robert,Saitz,Boston University,English,Boston,MA,5,N/,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1801476,0,52,0,male
Tara,Skurtu,Boston University,English,Boston,MA,5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1806904,41,0,1,female
Julie,Dwyer,Boston University,Education,Boston,MA,5,N/,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1808695,98,0,1,female
Lew,Karabatsos,Boston University,Arts & Administration,Boston,MA,3.3,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1809362,0,46,0,male
O'Connor,F,Boston University,Communication,Boston,MA,1.3,N/,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1812284,103,0,1,female
Lara,Honan,Boston University,History,Boston,MA,4.3,N/,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1813218,0,0,0.5,unknown
Adeline,Soldin,Boston University,Languages,Boston,MA,3.5,N/,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1826659,81,0,1,female
Jinrong,LI,Boston University,Writing,Boston,MA,2.8,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1826691,22,0,1,female
Liane,Jeschull,Boston University,Writing,Boston,MA,1,N/,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1847843,59,0,1,female
Ziv,Feldman,Boston University,Education,Boston,MA,5,N/,3.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1865462,0,79,0,male
Robert,G.,Boston University,International Studies,Boston,MA,4.5,N/,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1865705,0,35,0,male
Lara,Adamsons,Boston University,Law,Boston,MA,3.3,N/,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1867831,88,0,1,female
Thomas,Byron,Boston University,Languages,Boston,MA,4.3,N/,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1873906,0,31,0,male
Gomez,Shuckra,Boston University,Writing,Boston,MA,4.5,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1875602,48,0,1,female
Peter,Grant,Boston University,Languages,Boston,MA,3.3,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1880237,0,57,0,male
Francesca,Barigozzi,Boston University,Economics,Boston,MA,1,N/,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1881564,23,0,1,female
Catherine,Con,Boston University,English,Boston,MA,5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1886950,67,0,1,female
John,Voccio,Boston University,Engineering,Boston,MA,5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1889457,0,11,0,male
Hall,Tepfer,Boston University,Ma,Boston,MA,3,N/,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1889709,0,48,0,male
Christopher,Gill,Boston University,Health Science,Boston,MA,5,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1900209,0,39,0,male
Daniel,Bullock,Boston University,Neurological Sciences,Boston,MA,3.5,N/,3.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1901491,0,92,0,male
Israel,Shaked,Boston University,Finance,Boston,MA,2,N/,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1908094,0,89,0,male
Sara,R,Boston University,Social Science,Boston,MA,1,N/,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1909472,67,0,1,female
Jing,Stimpson,Boston University,Languages,Boston,MA,5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1918976,54,17,0.76056338,female
Andrew,Gary,Boston University,English,Boston,MA,4,N/,2.5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1929718,0,92,0,male
Andrew,Smith,Boston University,Music,Boston,MA,4.8,N/,1.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,1932209,0,13,0,male
Julia,Mix,Boston University,Writing,Boston,MA,4.5,N/,3,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1939003,40,0,1,female
Jordan,Eisenback,Boston University,English,Boston,MA,3,N/,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1952616,0,32,0,male
Gregory,Page,Boston University,Management,Boston,MA,4.8,N/,3,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1956150,0,14,0,male
Lei,Guo,Boston University,Communication,Boston,MA,3,N/,2.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1964713,99,0,1,female
Kathy,Darr,Boston University,Religion,Boston,MA,4,N/,3.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1971788,38,0,1,female
Ana,Maria,Boston University,Art History,Boston,MA,4,N/,3.5,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1977192,72,0,1,female
Jill,Walsh,Boston University,Sociology,Boston,MA,5,N/,2.5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1978372,41,0,1,female
Soheila,Ayoboff,Boston University,Languages,Boston,MA,4.8,N/,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1989198,17,0,1,female
Salvador,Ardid,Boston University,Ma,Boston,MA,1,N/,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1995814,0,65,0,male
Jason,Charles,Boston University,Music,Boston,MA,3,N/,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2000092,0,15,0,male
Travis,Parno,Boston University,Writing,Boston,MA,4.3,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2003373,0,78,0,male
Abigail,Moncrieff,Boston University,Law,Boston,MA,1,N/,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2011736,39,0,1,female
Fred,S,Boston University,Art History,Boston,MA,5,N/,3,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,2012164,0,32,0,male
Simon,Kasif,Boston University,Biomedical,Boston,MA,1.8,N/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019399,0,90,0,male
Xue,Han,Boston University,Biomedical,Boston,MA,3.8,N/,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019411,21,0,1,female
Michael,Faktorovich,Boston University,Computer Science,Boston,MA,4.8,N/,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2031614,0,47,0,male
Eduardo,Pedro,Boston University,Business,Boston,MA,3,N/,4.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2038010,0,60,0,male
Alejandro,Reuss,Boston University,International Studies,Boston,MA,3,N/,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2038452,0,44,0,male
Irena,Katz,Boston University,Languages,Boston,MA,4.8,N/,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2068973,68,0,1,female
Israel,Rolon-Barada,Boston University,Languages,Boston,MA,3,N/,2,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2079969,0,34,0,male
Erin,Reid,Boston University,Business,Boston,MA,3.8,N/,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2092538,50,0,1,female
Swapnil,Bhatia,Boston University,Engineering,Boston,MA,1.5,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2095931,0,19,0,male
Robert,Weintraub,Boston University,Education,Boston,MA,2.5,N/,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2111941,0,47,0,male
Debbie,Danielpour-Chapel,Boston University,Communication,Boston,MA,5,N/,3.5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2115194,48,0,1,female
Roberto,Tron,Boston University,Engineering,Boston,MA,2,N/,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2123768,0,71,0,male
Lei,Sui,Boston University,Engineering,Boston,MA,1.5,N/,2.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2126314,0,46,0,male
Kyle,Landry,Boston University,Nutrition,Boston,MA,3,N/,4.5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2127588,0,18,0,male
Pam,Naab,Boston University,Psychology,Boston,MA,3.5,N/,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2130388,51,0,1,female
Daniel,LeClair,Boston University,Criminal Justice,Boston,MA,3,N/,3.5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2130418,0,67,0,male
Mary,Sonja,Boston University,Education,Boston,MA,3.5,N/,2.5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,2132615,115,0,1,female
Timothy,Hudson,Boston University,Ma,Boston,MA,5,N/,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2140705,0,58,0,male
Yinxiao,Huang,Boston University,Ma,Boston,MA,1.8,N/,3,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2141939,72,0,1,female
Roman,Rabinovich,Boston University,Management,Boston,MA,4.5,N/,4.5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2147130,0,2,0,male
Sarah,D'Souza,Boston University,Communication,Boston,MA,5,N/,1.5,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,2148875,31,0,1,female
Maria,del,Boston University,Languages,Boston,MA,5,N/,4,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2159198,75,0,1,female
Alison,Pedley,Boston University,Computer Science,Boston,MA,5,N/,4,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2162019,33,0,1,female
Courtney,Raesinafchi-Seuss,Boston University,Hospitality,Boston,MA,4,N/,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2180463,36,0,1,female
Maureen,Mullen,Boston University,Journalism,Boston,MA,1.5,N/,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2187390,95,0,1,female
Mario,Giron-Abrego,Boston University,Archaeology,Boston,MA,5,N/,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2194670,0,28,0,male
Greta,Pane,Boston University,English,Boston,MA,2.5,N/,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2199265,51,0,1,female
Chelsea,Bray,Boston University,Writing,Boston,MA,5,N/,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2205676,85,0,1,female
Courtney,Raeisinafchi,Boston University,Hospitality,Boston,MA,5,N/,3.5,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2208385,58,0,1,female
Laura,D'Amato,Boston University,Law,Boston,MA,5,N/,3,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2219534,54,0,1,female
Dean,Albarelli,Boston University,Writing,Boston,MA,2,N/,3.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2221990,0,57,0,male
Erin,Redihan,Boston University,Social Science,Boston,MA,5,N/,2.5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2225107,109,0,1,female
Connor,Fitzmaurice,Boston University,Sociology,Boston,MA,5,N/,2.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,2226273,0,65,0,male
Alicja,Januszewicz,Boston University,Business,Boston,MA,2.5,N/,3.5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2228294,55,0,1,female
Roanne,Kantor,Boston University,English,Boston,MA,1,N/,5,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2231725,7,0,1,female
Ha,Jung,Boston University,Writing,Boston,MA,3,N/,2.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2233539,50,0,1,female
David,Osher,Boston University,Psychology,Boston,MA,3,N/,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2234353,0,46,0,male
Merav,Shohet,Boston University,Anthropology,Boston,MA,3,N/,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2234573,38,0,1,female
Lino,Campos,Boston University,Ma,Boston,MA,4.5,N/,2.5,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2234638,0,20,0,male
Pamela,Farr,Boston University,Computer Science,Boston,MA,5,N/,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2238700,62,0,1,female
Won,Ju,Boston University,Fine Arts,Boston,MA,1,N/,2.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2245042,55,0,1,female
Kate,Brown,Boston University,Communication,Boston,MA,5,N/,2.5,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,2249516,105,0,1,female
Andrew,Busey,Boston University,Economics,Boston,MA,5,N/,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2264771,0,17,0,male
Nicholas,MacDonald,Boston University,Astronomy,Boston,MA,4.5,N/,2.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2265188,0,40,0,male
Jia,Yang,Boston University,Ma,Boston,MA,1.5,N/,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2266551,60,0,1,female
Richard,Greif,Boston University,Communication,Boston,MA,2,N/,2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2297246,0,89,0,male
Jessica,Cordova,Boston University,Languages,Boston,MA,5,N/,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2298805,69,0,1,female
Jon,Najarian,Boston University,English,Boston,MA,5,N/,3.5,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,2306370,0,43,0,male
Greg,Chase,Boston University,English,Boston,MA,5,N/,3.5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2328028,0,30,0,male
Salim,Altug,Boston University,Ma,Boston,MA,4,N/,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,2328136,0,31,0,male
Sandra,King,Boston University,Marketing,Boston,MA,3,N/,3,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2328154,99,0,1,female
Raymond,Fisman,Boston University,Economics,Boston,MA,5,N/,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2330088,0,39,0,male
Yoosik,Kim,Boston University,Ma,Boston,MA,5,N/,3.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,2333141,0,90,0,male
Alexander,Olshevsky,Boston University,Engineering,Boston,MA,3,N/,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2335127,0,83,0,male
Asya,Lyass,Boston University,Ma,Boston,MA,1.5,N/,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2344105,77,0,1,female
Juan,Ortner,Boston University,Economics,Boston,MA,4.5,N/,3,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2359764,0,26,0,male
Christopher,Andry,Boston University,Medicine,Boston,MA,5,N/,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2363469,0,35,0,male
Constance,Vottero,Boston University,Languages,Boston,MA,5,N/,2.5,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,2368576,11,0,1,female
Allen,Harbaugh,Boston University,Ma,Boston,MA,5,N/,4.5,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2373261,0,23,0,male
Malavika,Shetty,Boston University,Writing,Boston,MA,5,N/,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2373424,70,0,1,female
Cedric,Fichot,Boston University,Earth Science,Boston,MA,5,N/,3.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2386082,0,9,0,male
Adnan,Rehman,Boston University,Writing,Boston,MA,4,N/,3.5,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2386523,0,63,0,male
Eugene,Pinsky,Boston University,Computer Science,Boston,MA,3,N/,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,2402391,0,11,0,male
Thomas,Little,Boston University,Engineering,Boston,MA,3,N/,4.5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2404723,0,13,0,male
Rebecca,Sherlock-Shangraw,Boston University,Education,Boston,MA,4.5,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,2412231,93,0,1,female
